"Index","SKY.Open","SKY.High","SKY.Low","SKY.Close","SKY.Volume","SKY.Adjusted"
"2021-06-09",52.209999,52.5,50.25,50.48,317000,50.48
"2021-06-10",49.93,50.16,48.439999,48.450001,390100,48.450001
"2021-06-11",48.720001,49.389999,48.59,49.240002,295300,49.240002
"2021-06-14",49.139999,49.720001,48.16,48.700001,347900,48.700001
"2021-06-15",48.950001,49.57,48.110001,49.240002,242700,49.240002
"2021-06-16",49.299999,49.709999,48.419998,48.700001,253200,48.700001
"2021-06-17",48.540001,49.740002,48.16,49.669998,346900,49.669998
"2021-06-18",48.639999,51.27,48.459999,51.139999,748200,51.139999
"2021-06-21",51.580002,51.82,50.220001,51.529999,366300,51.529999
"2021-06-22",51.360001,52.830002,50.799999,52.810001,303900,52.810001
"2021-06-23",53.189999,53.299999,51.139999,52.209999,305400,52.209999
"2021-06-24",52.349998,53.139999,51.630001,52.900002,248200,52.900002
"2021-06-25",52.939999,53.810001,52.610001,53.689999,805100,53.689999
"2021-06-28",53.900002,54,52.849998,53.299999,314500,53.299999
"2021-06-29",53.48,57.07,53.18,54.580002,878100,54.580002
"2021-06-30",54.279999,54.720001,53.049999,53.299999,463500,53.299999
"2021-07-01",53.700001,55.470001,53.150002,54.939999,341600,54.939999
"2021-07-02",55.09,55.119999,53.919998,54.549999,192600,54.549999
"2021-07-06",54.599998,54.610001,52.5,53.950001,300400,53.950001
"2021-07-07",53.880001,54.75,53.02,53.610001,258700,53.610001
"2021-07-08",52.299999,53.540001,49.709999,52.52,518700,52.52
"2021-07-09",53.360001,53.41,52.369999,53.02,201000,53.02
"2021-07-12",52.650002,52.91,51.959999,52.860001,173000,52.860001
"2021-07-13",52.32,53.110001,52.060001,52.18,292400,52.18
"2021-07-14",52.209999,52.77,51.349998,51.43,277800,51.43
"2021-07-15",51.43,51.57,50.029999,50.84,282800,50.84
"2021-07-16",51.220001,51.5,49.84,50.369999,359300,50.369999
"2021-07-19",49.560001,51.73,49.009998,51.52,419500,51.52
"2021-07-20",52.110001,54.459999,51.990002,53.900002,419000,53.900002
"2021-07-21",54.16,55.400002,54,55.009998,289300,55.009998
"2021-07-22",54.73,54.73,53.200001,53.310001,261800,53.310001
"2021-07-23",53.75,54.279999,53.490002,54.07,187100,54.07
"2021-07-26",54.5,55,53.490002,53.700001,327400,53.700001
"2021-07-27",53.259998,54.700001,53.150002,53.970001,230900,53.970001
"2021-07-28",54,54.450001,53.509998,53.950001,191900,53.950001
"2021-07-29",54.349998,57.400002,54.349998,56.919998,356900,56.919998
"2021-07-30",56.080002,57.290001,55.07,56.400002,576100,56.400002
